title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country
Never Seen The Rain,Tones and I,australian pop,2019,1969-12-31,92.0,46.0,67.0,-6.0,28.0,27.0,201,43.0,4.0,81,australia
What Christmas Means To Me,Stevie Wonder,adult standards,1967,1969-12-31,167.0,54.0,48.0,-10.0,8.0,82.0,147,24.0,4.0,80,australia
Thank God It's Christmas - Non-Album Single,Queen,glam rock,1984,1969-12-31,83.0,42.0,30.0,-9.0,23.0,34.0,262,21.0,3.0,80,australia
Rockin' Around the Christmas Tree,Brenda Lee,adult standards,1991,1969-12-31,141.0,64.0,68.0,-9.0,22.0,83.0,126,57.0,4.0,79,australia
2000 Miles - 2007 Remaster,Pretenders,album rock,1984,1969-12-31,66.0,71.0,22.0,-9.0,10.0,45.0,220,0.0,4.0,78,australia
Sleigh Ride,The Ronettes,adult standards,2019,1969-12-31,92.0,77.0,53.0,-7.0,32.0,85.0,181,40.0,3.0,77,australia
Jingle Bells (feat. The Puppini Sisters),Michael Bublé,adult standards,2011,1969-12-31,123.0,58.0,71.0,-6.0,14.0,83.0,162,70.0,6.0,75,australia
Mary's Boy Child / Oh My Lord,Boney M.,disco,2017,1969-12-31,113.0,72.0,78.0,-9.0,20.0,93.0,241,28.0,4.0,75,australia
Santa Claus Is Coming to Town,Michael Bublé,adult standards,2011,1969-12-31,123.0,40.0,59.0,-7.0,4.0,42.0,172,79.0,5.0,75,australia
White Christmas (with Shania Twain),Michael Bublé,adult standards,2011,1969-12-31,127.0,49.0,61.0,-7.0,13.0,64.0,218,44.0,4.0,73,australia
Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,1969-12-31,112.0,25.0,61.0,-9.0,22.0,48.0,176,96.0,4.0,73,australia
Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,1969-12-31,102.0,71.0,76.0,-10.0,8.0,96.0,224,16.0,3.0,69,australia
8 Days of Christmas,Destiny's Child,dance pop,1999,1969-12-31,100.0,84.0,69.0,-1.0,6.0,64.0,210,5.0,19.0,67,australia
How to Make Gravy,Paul Kelly,australian alternative rock,2019,1969-12-31,95.0,72.0,40.0,-7.0,25.0,39.0,269,6.0,4.0,45,australia
Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,belgium
ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,belgium
Memories,Maroon 5,pop,2019,1969-12-31,91.0,32.0,76.0,-7.0,8.0,57.0,189,84.0,5.0,99,belgium
Circles,Post Malone,dfw rap,2019,1969-12-31,120.0,76.0,70.0,-3.0,9.0,55.0,215,19.0,4.0,99,belgium
All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,belgium
everything i wanted,Billie Eilish,electropop,2019,1969-12-31,120.0,23.0,70.0,-14.0,11.0,24.0,245,90.0,10.0,98,belgium
Don't Start Now,Dua Lipa,dance pop,2019,1969-12-31,124.0,79.0,79.0,-5.0,10.0,68.0,183,1.0,8.0,97,belgium
Blinding Lights,The Weeknd,canadian contemporary r&b,2019,1969-12-31,171.0,80.0,51.0,-4.0,9.0,35.0,202,0.0,6.0,96,belgium
Someone You Loved,Lewis Capaldi,pop,2019,1969-12-31,110.0,41.0,50.0,-6.0,11.0,45.0,182,75.0,3.0,96,belgium
bad guy,Billie Eilish,electropop,2019,1969-12-31,135.0,43.0,70.0,-11.0,10.0,56.0,194,33.0,38.0,96,belgium
Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,belgium
Ride It,Regard,pop edm,2019,1969-12-31,118.0,75.0,88.0,-4.0,11.0,88.0,158,18.0,9.0,95,belgium
Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,belgium
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,belgium
Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,belgium
Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,belgium
Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,belgium
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,belgium
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,belgium
White Christmas,Bing Crosby,adult standards,1942,1969-12-31,131.0,16.0,32.0,-16.0,34.0,25.0,177,67.0,4.0,89,belgium
The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,1969-12-31,79.0,21.0,32.0,-15.0,14.0,21.0,192,92.0,3.0,89,belgium
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,belgium
Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,1969-12-31,75.0,18.0,44.0,-9.0,32.0,34.0,171,96.0,4.0,89,belgium
Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,belgium
Underneath the Tree,Kelly Clarkson,dance pop,2013,1969-12-31,160.0,81.0,51.0,-5.0,21.0,69.0,230,0.0,5.0,88,belgium
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,1969-12-31,113.0,28.0,73.0,-12.0,12.0,72.0,156,76.0,6.0,88,belgium
Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,1969-12-31,127.0,78.0,57.0,-7.0,11.0,70.0,153,2.0,3.0,88,belgium
Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,1969-12-31,129.0,84.0,67.0,-4.0,11.0,84.0,126,61.0,3.0,88,belgium
Do They Know It's Christmas? - 1984 Version,Band Aid,,2004,1969-12-31,115.0,64.0,60.0,-7.0,10.0,35.0,223,16.0,4.0,87,belgium
Blue Christmas,Elvis Presley,adult standards,1957,1969-12-31,95.0,27.0,47.0,-17.0,14.0,58.0,129,90.0,4.0,87,belgium
Christmas Lights,Coldplay,permanent wave,2010,1969-12-31,131.0,42.0,31.0,-9.0,8.0,24.0,242,13.0,3.0,87,belgium
Santa Baby,Ariana Grande,dance pop,2013,1969-12-31,96.0,78.0,75.0,-6.0,28.0,77.0,171,5.0,14.0,87,belgium
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen,heartland rock,1981,1969-12-31,140.0,67.0,36.0,-8.0,73.0,41.0,268,36.0,5.0,86,belgium
Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,1969-12-31,119.0,65.0,32.0,-6.0,24.0,47.0,272,50.0,3.0,86,belgium
Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,belgium
Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,belgium
Santa Claus Is Coming To Town,The Jackson 5,adult standards,1970,1969-12-31,147.0,76.0,69.0,-5.0,18.0,96.0,144,42.0,3.0,85,belgium
It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,1969-12-31,93.0,22.0,33.0,-11.0,34.0,36.0,207,88.0,3.0,84,belgium
I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,1969-12-31,129.0,71.0,58.0,-8.0,82.0,61.0,181,26.0,5.0,84,belgium
My Only Wish (This Year),Britney Spears,dance pop,2019,1969-12-31,147.0,73.0,67.0,-7.0,20.0,68.0,255,23.0,3.0,84,belgium
Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,1969-12-31,180.0,58.0,51.0,-11.0,18.0,87.0,242,36.0,4.0,83,belgium
A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,1969-12-31,140.0,37.0,67.0,-13.0,10.0,86.0,133,59.0,3.0,83,belgium
Holly Jolly Christmas,Michael Bublé,adult standards,2011,1969-12-31,151.0,43.0,61.0,-9.0,9.0,74.0,122,86.0,4.0,82,belgium
Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,1969-12-31,126.0,76.0,34.0,-7.0,8.0,36.0,166,39.0,5.0,82,belgium
Ne reviens pas,Gradur,french hip hop,2019,1969-12-31,125.0,78.0,93.0,-3.0,17.0,93.0,189,21.0,6.0,78,belgium
Sleigh Ride,The Ronettes,adult standards,2019,1969-12-31,92.0,77.0,53.0,-7.0,32.0,85.0,181,40.0,3.0,77,belgium
Santa Claus Is Coming to Town,Michael Bublé,adult standards,2011,1969-12-31,123.0,40.0,59.0,-7.0,4.0,42.0,172,79.0,5.0,75,belgium
Hoe Het Danst,Marco Borsato,dutch cabaret,2019,1969-12-31,130.0,86.0,69.0,-3.0,19.0,42.0,253,6.0,5.0,75,belgium
Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,1969-12-31,102.0,71.0,76.0,-10.0,8.0,96.0,224,16.0,3.0,69,belgium
This Christmas,Donny Hathaway,chicago soul,1971,1969-12-31,93.0,65.0,63.0,-9.0,25.0,68.0,231,29.0,4.0,59,belgium
Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,bolivia
All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,bolivia
RITMO (Bad Boys For Life),The Black Eyed Peas,dance pop,2019,1969-12-31,105.0,72.0,72.0,-7.0,24.0,67.0,222,3.0,7.0,97,bolivia
Tusa,KAROL G,latin,2019,1969-12-31,101.0,72.0,80.0,-3.0,6.0,57.0,201,30.0,30.0,96,bolivia
Vete,Bad Bunny,latin,2019,1969-12-31,92.0,67.0,89.0,-4.0,10.0,53.0,192,4.0,19.0,94,bolivia
China,Anuel AA,latin,2019,1969-12-31,105.0,81.0,79.0,-4.0,8.0,61.0,302,8.0,9.0,94,bolivia
Fantasias,Rauw Alejandro,latin,2019,1969-12-31,94.0,70.0,88.0,-4.0,6.0,79.0,200,14.0,7.0,93,bolivia
LA CANCIÓN,J Balvin,latin,2019,1969-12-31,176.0,65.0,75.0,-6.0,11.0,43.0,243,15.0,32.0,93,bolivia
Callaita,Bad Bunny,latin,2019,1969-12-31,176.0,62.0,61.0,-5.0,24.0,24.0,251,60.0,31.0,92,bolivia
Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,1969-12-31,80.0,84.0,73.0,-5.0,18.0,62.0,271,2.0,7.0,92,bolivia
Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,bolivia
Whine Up,Nicky Jam,latin,2019,1969-12-31,105.0,67.0,82.0,-6.0,10.0,66.0,215,5.0,8.0,91,bolivia
Que Tire Pa Lante,Daddy Yankee,latin,2019,1969-12-31,94.0,90.0,66.0,-3.0,12.0,71.0,211,5.0,4.0,91,bolivia
Tutu,Camilo,colombian pop,2019,1969-12-31,146.0,83.0,73.0,-3.0,7.0,94.0,179,27.0,5.0,90,bolivia
Si Te Vas,Sech,panamanian pop,2019,1969-12-31,174.0,64.0,73.0,-4.0,14.0,55.0,205,9.0,13.0,90,bolivia
Indeciso,Reik,latin,2019,1969-12-31,95.0,75.0,74.0,-5.0,11.0,90.0,217,18.0,5.0,90,bolivia
Quizas,Rich Music LTD,reggaeton,2019,1969-12-31,176.0,82.0,73.0,-2.0,23.0,68.0,216,3.0,15.0,90,bolivia
Aventura,Lunay,latin,2019,1969-12-31,92.0,73.0,73.0,-3.0,10.0,88.0,217,22.0,4.0,90,bolivia
"Yo x Ti, Tu x Mi",ROSALÍA,r&b en espanol,2019,1969-12-31,92.0,76.0,78.0,-3.0,14.0,58.0,201,46.0,23.0,90,bolivia
Hola - Remix,Dalex,latin,2019,1969-12-31,182.0,67.0,65.0,-6.0,8.0,34.0,250,47.0,31.0,89,bolivia
Señorita,Shawn Mendes,canadian pop,2019,1969-12-31,117.0,55.0,76.0,-6.0,8.0,75.0,191,4.0,3.0,89,bolivia
No Me Conoce - Remix,Jhay Cortez,latin,2019,1969-12-31,92.0,79.0,81.0,-4.0,9.0,58.0,309,14.0,7.0,88,bolivia
0.95833333333333337,Maluma,latin,2019,1969-12-31,96.0,71.0,78.0,-5.0,9.0,68.0,176,22.0,28.0,88,bolivia
QUE PRETENDES,J Balvin,latin,2019,1969-12-31,93.0,79.0,64.0,-4.0,36.0,94.0,222,3.0,25.0,88,bolivia
"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,1969-12-31,170.0,71.0,74.0,-4.0,8.0,83.0,259,5.0,9.0,88,bolivia
Con Altura,ROSALÍA,r&b en espanol,2019,1969-12-31,98.0,69.0,88.0,-4.0,5.0,75.0,162,39.0,12.0,88,bolivia
Otro Trago - Remix,Sech,panamanian pop,2019,1969-12-31,176.0,79.0,73.0,-2.0,6.0,76.0,288,7.0,20.0,88,bolivia
Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,1969-12-31,90.0,54.0,73.0,-5.0,14.0,64.0,227,26.0,5.0,87,bolivia
Bellaquita - Remix,Dalex,latin,2019,1969-12-31,166.0,72.0,80.0,-4.0,18.0,76.0,305,14.0,8.0,87,bolivia
Qué Pena,Maluma,latin,2019,1969-12-31,126.0,66.0,64.0,-6.0,34.0,86.0,213,10.0,36.0,87,bolivia
Blanco,J Balvin,latin,2019,1969-12-31,100.0,71.0,87.0,-5.0,9.0,59.0,146,3.0,13.0,87,bolivia
Pa Mí - Remix,Dalex,latin,2019,1969-12-31,170.0,62.0,69.0,-8.0,16.0,73.0,361,75.0,22.0,86,bolivia
Otro Trago,Sech,panamanian pop,2019,1969-12-31,176.0,70.0,75.0,-5.0,11.0,62.0,226,14.0,34.0,86,bolivia
Te Vi,Piso 21,colombian pop,2018,1969-12-31,102.0,78.0,88.0,-4.0,9.0,71.0,232,4.0,12.0,85,bolivia
Feliz Navidad,José Feliciano,latin pop,2001,1969-12-31,149.0,86.0,49.0,-7.0,35.0,96.0,182,53.0,4.0,85,bolivia
Last Christmas,Wham!,new wave pop,1984,1969-12-31,108.0,48.0,74.0,-12.0,36.0,95.0,263,19.0,3.0,85,bolivia
Que Mas Pues - Remix,Sech,panamanian pop,2019,1969-12-31,113.0,66.0,65.0,-5.0,12.0,81.0,306,12.0,20.0,85,bolivia
Bellaquita,Dalex,latin,2019,1969-12-31,166.0,70.0,58.0,-4.0,17.0,77.0,205,9.0,11.0,85,bolivia
Sigues Con El,Dimelo Flow,latin,2019,1969-12-31,88.0,67.0,88.0,-3.0,7.0,68.0,227,11.0,11.0,83,bolivia
Atrévete,Nicky Jam,latin,2019,1969-12-31,184.0,68.0,55.0,-4.0,12.0,59.0,198,31.0,30.0,83,bolivia
Loco,Beéle,,2019,1969-12-31,105.0,56.0,82.0,-6.0,5.0,77.0,204,16.0,17.0,82,bolivia
Amor a Primera Vista,Los Angeles Azules,grupera,2019,1969-12-31,170.0,76.0,66.0,-6.0,41.0,95.0,221,32.0,6.0,81,bolivia
Una Vida Para Recordar,Piso 21,colombian pop,2019,1969-12-31,182.0,78.0,70.0,-3.0,12.0,48.0,215,7.0,20.0,81,bolivia
Soltera - Remix,Lunay,latin,2019,1969-12-31,92.0,78.0,80.0,-4.0,44.0,80.0,266,36.0,4.0,80,bolivia
Tal Vez,Paulo Londra,argentine hip hop,2019,1969-12-31,162.0,65.0,86.0,-2.0,8.0,74.0,264,25.0,15.0,80,bolivia
Desconocidos,Mau y Ricky,latin,2019,1969-12-31,174.0,75.0,72.0,-5.0,21.0,68.0,205,12.0,18.0,79,bolivia
Nunca Es Suficiente,Los Angeles Azules,grupera,2018,1969-12-31,94.0,50.0,80.0,-6.0,9.0,80.0,266,39.0,4.0,78,bolivia
Detente,Mike Bahía,colombian pop,2019,1969-12-31,172.0,59.0,74.0,-5.0,11.0,36.0,182,27.0,35.0,77,bolivia
Adan y Eva,Paulo Londra,argentine hip hop,2019,1969-12-31,172.0,71.0,77.0,-4.0,7.0,72.0,257,32.0,34.0,76,bolivia
La Difícil,Camilo,colombian pop,2019,1969-12-31,65.0,36.0,68.0,-7.0,16.0,55.0,159,67.0,11.0,71,bolivia
Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,brazil
Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,1969-12-31,150.0,73.0,83.0,-3.0,2.0,61.0,158,38.0,8.0,86,brazil
Surtada - Remix Brega Funk,Dadá Boladão,brega funk,2019,1969-12-31,154.0,55.0,83.0,-7.0,18.0,88.0,153,25.0,6.0,86,brazil
Supera - Ao Vivo,Marília Mendonça,sertanejo,2019,1969-12-31,132.0,74.0,67.0,-4.0,96.0,66.0,148,6.0,6.0,85,brazil
Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,1969-12-31,152.0,87.0,53.0,-3.0,33.0,71.0,182,24.0,9.0,85,brazil
Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,1969-12-31,108.0,68.0,67.0,-6.0,92.0,70.0,188,63.0,5.0,84,brazil
Some que ele vem atrás,Anitta,baile pop,2019,1969-12-31,180.0,80.0,65.0,-6.0,38.0,60.0,195,7.0,17.0,84,brazil
Hit Contagiante,Felipe Original,brega funk,2019,1969-12-31,170.0,68.0,82.0,-7.0,9.0,96.0,137,13.0,12.0,84,brazil
Gaiola É o Troco,MC Du Black,funk carioca,2019,1969-12-31,150.0,84.0,72.0,-3.0,11.0,85.0,187,42.0,8.0,84,brazil
SENTADÃO,Pedro Sampaio,baile pop,2019,1969-12-31,174.0,87.0,68.0,-2.0,22.0,92.0,143,18.0,6.0,83,brazil
Tijolão - Ao Vivo,Jorge & Mateus,sertanejo,2019,1969-12-31,119.0,88.0,64.0,-4.0,34.0,69.0,175,47.0,20.0,83,brazil
Ferida Curada,Zé Neto & Cristiano,sertanejo universitario,2019,1969-12-31,146.0,85.0,49.0,-3.0,21.0,55.0,159,49.0,10.0,83,brazil
Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,1969-12-31,150.0,84.0,89.0,-2.0,6.0,96.0,120,46.0,15.0,83,brazil
3 Batidas - Ao Vivo,Guilherme & Benuto,sertanejo pop,2019,1969-12-31,118.0,71.0,55.0,-5.0,76.0,53.0,157,61.0,13.0,82,brazil
Quarta Cadeira - Ao Vivo,Matheus & Kauan,pop nacional,2019,1969-12-31,76.0,82.0,56.0,-5.0,62.0,60.0,224,59.0,24.0,82,brazil
Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,1969-12-31,152.0,93.0,79.0,-5.0,95.0,81.0,173,22.0,8.0,82,brazil
Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,1969-12-31,135.0,86.0,78.0,-4.0,93.0,70.0,157,48.0,5.0,82,brazil
Sentou e Gostou,MC JottaPê,funk carioca,2019,1969-12-31,131.0,67.0,70.0,-3.0,9.0,72.0,163,26.0,40.0,82,brazil
Quando a vontade bater (Participação especial de PK Delas),Pk,brazilian edm,2019,1969-12-31,150.0,70.0,62.0,-6.0,15.0,70.0,166,54.0,25.0,82,brazil
menina solta,Giulia Be,pop nacional,2019,1969-12-31,92.0,56.0,63.0,-7.0,16.0,67.0,150,33.0,8.0,82,brazil
Lençol Dobrado,João Gustavo e Murilo,funk carioca,2018,1969-12-31,125.0,66.0,71.0,-5.0,33.0,67.0,179,36.0,4.0,81,brazil
Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,1969-12-31,154.0,80.0,60.0,-4.0,74.0,68.0,160,36.0,20.0,81,brazil
S de Saudade,Luíza & Maurílio,sertanejo pop,2019,1969-12-31,124.0,71.0,71.0,-4.0,13.0,79.0,175,62.0,5.0,81,brazil
Serenata - Ao Vivo,Marília Mendonça,sertanejo,2019,1969-12-31,132.0,71.0,71.0,-6.0,97.0,74.0,156,10.0,9.0,81,brazil
Todo Mundo Vai Sofrer - Ao Vivo,Marília Mendonça,sertanejo,2019,1969-12-31,111.0,74.0,62.0,-4.0,41.0,58.0,155,28.0,7.0,81,brazil
Verdinha,Ludmilla,baile pop,2019,1969-12-31,138.0,95.0,85.0,-4.0,12.0,63.0,160,35.0,12.0,81,brazil
choque térmico - ao vivo,Luan Santana,funk carioca,2019,1969-12-31,127.0,76.0,74.0,-6.0,83.0,73.0,180,34.0,4.0,81,brazil
Ela Vem,MC G15,brega funk,2019,1969-12-31,185.0,63.0,62.0,-7.0,7.0,59.0,197,62.0,55.0,81,brazil
A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,1969-12-31,119.0,88.0,54.0,-3.0,93.0,63.0,183,72.0,10.0,80,brazil
"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,sertanejo pop,2019,1969-12-31,112.0,79.0,61.0,-3.0,24.0,57.0,174,25.0,4.0,80,brazil
Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,1969-12-31,140.0,84.0,70.0,-3.0,75.0,67.0,232,28.0,6.0,80,brazil
Espaçosa Demais - Ao Vivo,Felipe Araújo,funk carioca,2018,1969-12-31,160.0,89.0,68.0,-4.0,23.0,71.0,179,38.0,8.0,80,brazil
Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,pop nacional,2019,1969-12-31,106.0,72.0,51.0,-6.0,87.0,42.0,189,77.0,6.0,80,brazil
To Voando Alto,Mc Poze do Rodo,funk carioca,2019,1969-12-31,145.0,68.0,89.0,-3.0,8.0,80.0,137,31.0,17.0,80,brazil
Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,1969-12-31,136.0,68.0,83.0,-5.0,41.0,85.0,174,48.0,7.0,79,brazil
Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,1969-12-31,142.0,72.0,61.0,-4.0,96.0,30.0,202,16.0,5.0,79,brazil
Se Prepara 2,Mc Livinho,funk carioca,2019,1969-12-31,130.0,45.0,65.0,-9.0,11.0,36.0,147,11.0,52.0,79,brazil
A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,1969-12-31,134.0,94.0,79.0,-2.0,96.0,83.0,238,37.0,3.0,78,brazil
Relógio Parado (Ao Vivo),Diego & Arnaldo,sertanejo,2019,1969-12-31,125.0,94.0,74.0,-1.0,97.0,73.0,181,5.0,5.0,78,brazil
Solteiro Não Trai - Ao Vivo,Gustavo Mioto,sertanejo,2018,1969-12-31,158.0,83.0,49.0,-3.0,96.0,60.0,187,48.0,20.0,78,brazil
Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,1969-12-31,166.0,92.0,58.0,-3.0,94.0,74.0,189,29.0,10.0,77,brazil
Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,1969-12-31,110.0,81.0,61.0,-5.0,42.0,45.0,190,52.0,4.0,77,brazil
Dois Lados,Wesley Safadão,forro,2019,1969-12-31,160.0,85.0,66.0,-4.0,10.0,93.0,147,42.0,5.0,77,brazil
"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,sertanejo,2019,1969-12-31,135.0,70.0,62.0,-8.0,8.0,45.0,189,29.0,7.0,74,brazil
quando a bad bater - ao vivo,Luan Santana,funk carioca,2019,1969-12-31,128.0,79.0,65.0,-5.0,53.0,53.0,180,30.0,4.0,71,brazil
Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,1969-12-31,114.0,64.0,80.0,-3.0,97.0,73.0,175,47.0,5.0,70,brazil
Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,sertanejo universitario,2019,1969-12-31,196.0,90.0,39.0,-4.0,91.0,47.0,182,45.0,41.0,68,brazil
Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,1969-12-31,127.0,93.0,81.0,-1.0,87.0,92.0,216,41.0,4.0,67,brazil
Quem Traiu Levou - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,1969-12-31,174.0,96.0,59.0,-2.0,32.0,83.0,154,32.0,8.0,66,brazil
Tiro Certo - Ao Vivo,Zé Felipe,funk carioca,2019,1969-12-31,130.0,91.0,71.0,-5.0,71.0,69.0,179,56.0,7.0,65,brazil
Dance Monkey,Tones and I,australian pop,2019,1969-12-31,98.0,59.0,82.0,-6.0,15.0,51.0,209,69.0,9.0,100,canada
ROXANNE,Arizona Zervas,pop rap,2019,1969-12-31,117.0,60.0,62.0,-6.0,46.0,46.0,164,5.0,15.0,99,canada
All I Want for Christmas Is You,Mariah Carey,dance pop,1994,1969-12-31,150.0,63.0,34.0,-7.0,7.0,35.0,241,16.0,4.0,98,canada
Santa Tell Me,Ariana Grande,dance pop,2014,1969-12-31,192.0,62.0,53.0,-7.0,29.0,59.0,204,5.0,12.0,95,canada
Rockin' Around The Christmas Tree,Brenda Lee,adult standards,1964,1969-12-31,67.0,47.0,59.0,-9.0,51.0,90.0,126,61.0,5.0,93,canada
It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,1969-12-31,202.0,60.0,24.0,-8.0,12.0,78.0,152,77.0,4.0,92,canada
Jingle Bell Rock,Bobby Helms,adult standards,1992,1969-12-31,120.0,42.0,75.0,-8.0,7.0,81.0,131,64.0,4.0,92,canada
Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,1969-12-31,147.0,61.0,33.0,-11.0,77.0,40.0,214,32.0,3.0,92,canada
Mistletoe,Justin Bieber,canadian pop,2011,1969-12-31,162.0,56.0,66.0,-9.0,8.0,85.0,183,50.0,5.0,92,canada
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,1969-12-31,142.0,26.0,65.0,-13.0,36.0,84.0,155,90.0,6.0,91,canada
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,album rock,1980,1969-12-31,95.0,51.0,77.0,-9.0,7.0,77.0,228,32.0,3.0,91,canada
The Christmas Song (Merry Christmas To You),Nat King Cole,adult standards,1962,1969-12-31,79.0,21.0,32.0,-15.0,14.0,21.0,192,92.0,3.0,89,canada
White Christmas,Bing Crosby,adult standards,1942,1969-12-31,131.0,16.0,32.0,-16.0,34.0,25.0,177,67.0,4.0,89,canada
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,1969-12-31,134.0,24.0,45.0,-14.0,18.0,70.0,117,91.0,4.0,89,canada
Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,1969-12-31,75.0,18.0,44.0,-9.0,32.0,34.0,171,96.0,4.0,89,canada
The Box,Roddy Ricch,melodic rap,2019,1969-12-31,117.0,59.0,90.0,-7.0,79.0,64.0,197,10.0,6.0,89,canada
